context_window,d_model,num_heads,n_graph_layers,dropout_attn,dropout_gcn,val_loss (5),run_folder
50,16,2,1,0.1,0.1,0.12640114466259544,MainFolder/Autoregressive Model Windows/Saved Models\model_16_50_2026-01-17_9403
50,16,16,1,0.0,0.2,-0.11539768277021888,MainFolder/Autoregressive Model Windows/Saved Models\model_16_50_2026-01-17_7529
50,128,16,2,0.0,0.1,-0.4988625002285437,MainFolder/Autoregressive Model Windows/Saved Models\model_128_50_2026-01-17_5059
60,128,16,1,0.0,0.2,0.18877482135314494,MainFolder/Autoregressive Model Windows/Saved Models\model_128_60_2026-01-17_3871
40,16,16,1,0.1,0.3,-0.07113067449218677,MainFolder/Autoregressive Model Windows/Saved Models\model_16_40_2026-01-17_2132
60,16,1,1,0.2,0.3,0.15907748729900711,MainFolder/Autoregressive Model Windows/Saved Models\model_16_60_2026-01-17_3152
60,32,8,1,0.0,0.2,0.0947349057863043,MainFolder/Autoregressive Model Windows/Saved Models\model_32_60_2026-01-17_5503
30,128,4,2,0.0,0.3,-0.2310007912966171,MainFolder/Autoregressive Model Windows/Saved Models\model_128_30_2026-01-17_4964
60,64,16,1,0.2,0.3,0.21477700613290923,MainFolder/Autoregressive Model Windows/Saved Models\model_64_60_2026-01-17_7077
40,64,2,1,0.1,0.1,-0.2920951337883757,MainFolder/Autoregressive Model Windows/Saved Models\model_64_40_2026-01-17_9454
60,64,2,1,0.2,0.2,-0.05382643021866731,MainFolder/Autoregressive Model Windows/Saved Models\model_64_60_2026-01-17_0939
60,16,2,2,0.0,0.1,-0.008670527189387935,MainFolder/Autoregressive Model Windows/Saved Models\model_16_60_2026-01-17_9323
50,16,2,2,0.2,0.2,-0.10896607601041479,MainFolder/Autoregressive Model Windows/Saved Models\model_16_50_2026-01-17_2154
40,32,16,2,0.0,0.1,-0.25545393972858704,MainFolder/Autoregressive Model Windows/Saved Models\model_32_40_2026-01-17_1049
30,128,8,1,0.1,0.3,-0.12632316049823364,MainFolder/Autoregressive Model Windows/Saved Models\model_128_30_2026-01-17_4846
60,32,4,2,0.2,0.3,-0.08563496328546365,MainFolder/Autoregressive Model Windows/Saved Models\model_32_60_2026-01-17_3730
30,128,8,2,0.1,0.1,-0.44422522495902916,MainFolder/Autoregressive Model Windows/Saved Models\model_128_30_2026-01-17_1450
50,128,4,1,0.2,0.3,-0.2616949177685787,MainFolder/Autoregressive Model Windows/Saved Models\model_128_50_2026-01-17_0725
30,16,1,2,0.0,0.3,0.03145896567564872,MainFolder/Autoregressive Model Windows/Saved Models\model_16_30_2026-01-17_2990
50,32,4,1,0.1,0.1,-0.022752451066255813,MainFolder/Autoregressive Model Windows/Saved Models\model_32_50_2026-01-17_9433
60,16,8,2,0.1,0.1,-0.0067644867427721096,MainFolder/Autoregressive Model Windows/Saved Models\model_16_60_2026-01-17_5100
60,64,4,1,0.1,0.2,0.1209272509600586,MainFolder/Autoregressive Model Windows/Saved Models\model_64_60_2026-01-17_1949
30,16,1,2,0.1,0.3,0.09201596237806371,MainFolder/Autoregressive Model Windows/Saved Models\model_16_30_2026-01-17_7564
40,128,8,2,0.2,0.3,-0.37797633403150194,MainFolder/Autoregressive Model Windows/Saved Models\model_128_40_2026-01-17_7573
40,32,1,2,0.0,0.1,-0.09613475415024861,MainFolder/Autoregressive Model Windows/Saved Models\model_32_40_2026-01-17_8068
60,32,16,1,0.1,0.2,-0.07368327501663852,MainFolder/Autoregressive Model Windows/Saved Models\model_32_60_2026-01-17_2294
40,64,1,2,0.0,0.1,-0.19902294786202465,MainFolder/Autoregressive Model Windows/Saved Models\model_64_40_2026-01-17_2988
50,128,1,1,0.1,0.3,-0.49860788652292365,MainFolder/Autoregressive Model Windows/Saved Models\model_128_50_2026-01-17_1614
60,32,8,1,0.1,0.3,0.3117111958351664,MainFolder/Autoregressive Model Windows/Saved Models\model_32_60_2026-01-17_6904
40,64,2,2,0.2,0.1,-0.17909622452010146,MainFolder/Autoregressive Model Windows/Saved Models\model_64_40_2026-01-17_4070
50,16,1,1,0.2,0.1,-0.04479283097082357,MainFolder/Autoregressive Model Windows/Saved Models\model_16_50_2026-01-17_5129
40,16,8,1,0.1,0.2,-0.18672985223799274,MainFolder/Autoregressive Model Windows/Saved Models\model_16_40_2026-01-17_1497
40,32,1,2,0.1,0.3,-0.10294617227638476,MainFolder/Autoregressive Model Windows/Saved Models\model_32_40_2026-01-17_6447
50,128,16,2,0.1,0.3,-0.2848269832798873,MainFolder/Autoregressive Model Windows/Saved Models\model_128_50_2026-01-17_3172
30,32,2,1,0.2,0.1,-0.17811556078774043,MainFolder/Autoregressive Model Windows/Saved Models\model_32_30_2026-01-17_9561
30,128,16,1,0.1,0.1,-0.34228305958042077,MainFolder/Autoregressive Model Windows/Saved Models\model_128_30_2026-01-17_1888
50,64,4,2,0.0,0.1,-0.41987304888581006,MainFolder/Autoregressive Model Windows/Saved Models\model_64_50_2026-01-17_4048
50,128,8,1,0.0,0.1,-0.23146501569966366,MainFolder/Autoregressive Model Windows/Saved Models\model_128_50_2026-01-17_7192
60,32,4,2,0.0,0.3,0.040395806751561895,MainFolder/Autoregressive Model Windows/Saved Models\model_32_60_2026-01-17_7822
40,32,16,2,0.1,0.1,-0.17991837340576403,MainFolder/Autoregressive Model Windows/Saved Models\model_32_40_2026-01-17_9952
30,64,8,1,0.0,0.2,-0.04721203960181973,MainFolder/Autoregressive Model Windows/Saved Models\model_64_30_2026-01-17_3036
40,128,16,1,0.0,0.2,-0.2305598837501285,MainFolder/Autoregressive Model Windows/Saved Models\model_128_40_2026-01-17_1697
40,64,16,2,0.2,0.1,-0.1462989769351076,MainFolder/Autoregressive Model Windows/Saved Models\model_64_40_2026-01-17_3662
40,128,16,2,0.2,0.1,-0.31298324320057874,MainFolder/Autoregressive Model Windows/Saved Models\model_128_40_2026-01-17_8484
60,128,2,2,0.0,0.2,-0.271609718199999,MainFolder/Autoregressive Model Windows/Saved Models\model_128_60_2026-01-17_8884
30,128,4,2,0.1,0.1,-0.2935563590356039,MainFolder/Autoregressive Model Windows/Saved Models\model_128_30_2026-01-17_7664
30,128,2,2,0.2,0.1,-0.4712005454843695,MainFolder/Autoregressive Model Windows/Saved Models\model_128_30_2026-01-18_1981
50,16,2,1,0.0,0.2,-0.15618981425216505,MainFolder/Autoregressive Model Windows/Saved Models\model_16_50_2026-01-18_1683
40,16,1,2,0.1,0.2,0.07241869022663612,MainFolder/Autoregressive Model Windows/Saved Models\model_16_40_2026-01-18_1824
40,32,2,1,0.0,0.1,-0.1135926850665022,MainFolder/Autoregressive Model Windows/Saved Models\model_32_40_2026-01-18_3649
